date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:38	194/194	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Oct%202022%2010:06:41%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1	C:/Users/HP/Desktop/sneat/https___demos.themeselection.com_sneat-bootstrap-html-laravel-admin-template_demo-1_/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1.0.delayed	(from )
17:06:39	178/178	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Oct%202022%2010:06:41%20GMT	https://demos.themeselection.com/robots.txt		(from )
17:06:39	133978/133978	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2010:06:41%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/	C:/Users/HP/Desktop/sneat/https___demos.themeselection.com_sneat-bootstrap-html-laravel-admin-template_demo-1_/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/index.html	(from )
17:06:40	1393/1393	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22633ed0b5-571%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/img/favicon/favicon.ico	C:/Users/HP/Desktop/sneat/https___demos.themeselection.com_sneat-bootstrap-html-laravel-admin-template_demo-1_/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/img/favicon/favicon.ico	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
17:06:40	64872/64872	---MCZ	200	added ('OK')	text/css	etag:W/%22633ed164-fd68%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/boxicons.css?id=87122b3a3900320673311cebdeb618da	C:/Users/HP/Desktop/sneat/https___demos.themeselection.com_sneat-bootstrap-html-laravel-admin-template_demo-1_/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/boxiconsc4a7.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
17:06:40	96729/96729	---MCZ	200	added ('OK')	text/css	etag:W/%22633ed164-179d9%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/fontawesome.css?id=cfafea31c584abe0bcf920c389ea9b3f	C:/Users/HP/Desktop/sneat/https___demos.themeselection.com_sneat-bootstrap-html-laravel-admin-template_demo-1_/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/fontawesome5919.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
17:06:40	30528/30528	---MCZ	200	added ('OK')	text/css	etag:W/%22633ed164-7740%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/flag-icons.css?id=403b97c176f3cdf56a3cbf09107ee240	C:/Users/HP/Desktop/sneat/https___demos.themeselection.com_sneat-bootstrap-html-laravel-admin-template_demo-1_/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/fonts/flag-icons5883.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
17:06:41	554005/554005	---MCZ	200	added ('OK')	text/css	etag:W/%22633ed164-87415%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/css/rtl/core.css?id=2dd9c913029b2c5f8ee3be4934b17c9b	C:/Users/HP/Desktop/sneat/https___demos.themeselection.com_sneat-bootstrap-html-laravel-admin-template_demo-1_/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/css/rtl/core42a5.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
17:06:41	47356/47356	---MCZ	200	added ('OK')	text/css	etag:W/%22633ed164-b8fc%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/css/rtl/theme-default.css?id=c558d1f84f92626b4007bf28bd986129	C:/Users/HP/Desktop/sneat/https___demos.themeselection.com_sneat-bootstrap-html-laravel-admin-template_demo-1_/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/vendor/css/rtl/theme-default5645.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
17:06:42	2543/2543	---MCZ	200	added ('OK')	text/css	etag:W/%22633ed164-9ef%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/css/demo.css?id=8a804dae81f41c0f9fcbef2fa8316bdd	C:/Users/HP/Desktop/sneat/https___demos.themeselection.com_sneat-bootstrap-html-laravel-admin-template_demo-1_/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/css/demo6e6a.css	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
